Date,Close
11/17/2016,52.2
11/18/2016,51.66
11/21/2016,51.03
11/22/2016,49.21
11/23/2016,50.99
11/25/2016,51.77
11/28/2016,50.36
11/29/2016,50.8
11/30/2016,50.11
12/1/2016,49.25
12/2/2016,49.02
12/5/2016,51.82
12/6/2016,55.68
12/7/2016,52.04
12/8/2016,51.58
12/9/2016,50.1
12/12/2016,47.57
12/13/2016,48.07
12/14/2016,47.95
12/15/2016,48.99
12/16/2016,48.5
12/19/2016,47.28
12/20/2016,47.52
12/21/2016,46.77
12/22/2016,46.27
12/23/2016,49.2
12/27/2016,49.44
12/28/2016,48.97
12/29/2016,49.77
12/30/2016,51.06
1/3/2017,50.77
1/4/2017,52.62
1/5/2017,53.21
1/6/2017,53.74
1/9/2017,53.37
1/10/2017,53.85
1/11/2017,52.85
1/12/2017,53.88
1/13/2017,55.36
1/17/2017,54.24
1/18/2017,53.74
1/19/2017,53.03
1/20/2017,53.22
1/23/2017,52.35
1/24/2017,49.84
1/25/2017,48.98
1/26/2017,48.52
1/27/2017,47.45
1/30/2017,46.01
1/31/2017,47.98
2/1/2017,47.35
2/2/2017,47.52
2/3/2017,48.46
2/6/2017,47.7
2/7/2017,47.18
2/8/2017,47.49
2/9/2017,47.54
2/10/2017,47.42
2/13/2017,52.99
2/14/2017,54.33
2/15/2017,57.58
2/16/2017,62.75
2/17/2017,64.98
2/21/2017,64.06
2/22/2017,61.93
2/23/2017,62.33
2/24/2017,62.3
2/27/2017,68.81
2/28/2017,67.4
3/1/2017,70.17
3/2/2017,68.62
3/3/2017,66.86
3/6/2017,65.72
3/7/2017,64.68
3/8/2017,66.61
3/9/2017,67.74
3/10/2017,68.42
3/13/2017,69.17
3/14/2017,67.99
3/15/2017,69.56
3/16/2017,68.07
3/17/2017,67.33
3/20/2017,68.4
3/21/2017,63.77
3/22/2017,65.98
3/23/2017,65.09
3/24/2017,62.49
3/27/2017,65.5
3/28/2017,64.3
3/29/2017,64.15
3/30/2017,64.83
3/31/2017,71.07
4/3/2017,70.35
4/4/2017,72.04
4/5/2017,70.17
4/6/2017,71.1
4/7/2017,73.44
4/10/2017,71.55
4/11/2017,69.93
4/12/2017,72
4/13/2017,70.39
4/17/2017,70.38
4/18/2017,67.95
4/19/2017,70.27
4/20/2017,71.63
4/21/2017,72.82
4/24/2017,72.85
4/25/2017,73.37
4/26/2017,72.16
4/27/2017,71.72
4/28/2017,71
5/1/2017,73.43
5/2/2017,69.28
5/3/2017,68.52
5/4/2017,70.05
5/5/2017,70.86
5/8/2017,68.22
5/9/2017,66.03
5/10/2017,66.37
5/11/2017,68.69
5/12/2017,71.08
5/15/2017,70.67
5/16/2017,70.2
5/17/2017,65.39
5/18/2017,67.82
5/19/2017,65.54
5/22/2017,66.89
5/23/2017,67.42
5/24/2017,67.64
5/25/2017,68.15
5/26/2017,66.05
5/30/2017,64.75
5/31/2017,66.11
6/1/2017,67.96
6/2/2017,68.95
6/5/2017,69.67
6/6/2017,70.85
6/7/2017,72.74
6/8/2017,74.86
6/9/2017,74.31
6/12/2017,74.32
6/13/2017,78.35
6/14/2017,77.93
6/15/2017,77.15
6/16/2017,79.71
6/19/2017,83.9
6/20/2017,81
6/21/2017,83.31
6/22/2017,84.94
6/23/2017,84.23
6/26/2017,82.03
6/27/2017,76.01
6/28/2017,79.26
6/29/2017,78.94
6/30/2017,79.64
7/3/2017,80.31
7/5/2017,81.6
7/6/2017,79.99
7/7/2017,81.43
7/10/2017,79.15
7/11/2017,80.43
7/12/2017,79.71
7/13/2017,80.87
7/14/2017,81.55
7/17/2017,82.78
7/18/2017,81.69
7/19/2017,80.97
7/20/2017,81.41
7/21/2017,83.61
7/24/2017,85.89
7/25/2017,84.27
7/26/2017,83.83
7/27/2017,80.53
7/28/2017,81.82
7/31/2017,79.75
8/1/2017,78.95
8/2/2017,80.76
8/3/2017,78.4
8/4/2017,87
8/7/2017,88.51
8/8/2017,84.4
8/9/2017,85.67
8/10/2017,83.61
8/11/2017,84.68
8/14/2017,84.27
8/15/2017,84.79
8/16/2017,84.31
8/17/2017,81.25
8/18/2017,80.88
8/21/2017,80.43
8/22/2017,82.06
8/23/2017,81
8/24/2017,81.43
8/25/2017,78.63
8/28/2017,78.36
8/29/2017,78.9
8/30/2017,80.37
8/31/2017,82.25
9/1/2017,87
9/5/2017,85.16
9/6/2017,85.98
9/7/2017,86.59
9/8/2017,87
9/11/2017,88.52
9/12/2017,76.4
9/13/2017,70.37
9/14/2017,64.85
9/15/2017,62.36
9/18/2017,62.7
9/19/2017,61.4
9/20/2017,64.42
9/21/2017,64.99
9/22/2017,62.9
9/25/2017,63.34
